timestamp,rnti,phr,dl_tbs,ul_tbs,dl_aggr_prb,wb_cqi,pusch_snr,pucch_snr,ul_rssi,dl_bler,ul_bler,dl_mcs,ul_mcs,target_future_rssi
1764717459225134.0,72,30,523332,756940,11,15,30.295379638671875,35.010929107666016,67.8844223022461,0.0,0.0,26,20,68.33839416503906
1764717459235138.0,72,30,523355,756977,11,15,30.051864624023438,35.010929107666016,68.33839416503906,0.0,0.0,26,20,68.53181457519531
1764717459245154.0,72,30,523419,757017,11,15,29.67011070251465,35.266937255859375,68.53181457519531,0.0,0.0,26,21,68.53181457519531
1764717459255135.0,72,30,523406,756998,11,15,29.67011070251465,35.4407958984375,68.53181457519531,0.0,0.0,26,21,68.70568084716797
1764717459265139.0,72,30,523391,756989,11,15,29.628564834594727,35.4407958984375,68.70568084716797,0.0,0.0,26,21,68.86239624023438
1764717459275150.0,72,30,523378,757034,11,15,29.242198944091797,33.854644775390625,68.86239624023438,0.0,0.0,26,21,67.37401580810547
1764717459285135.0,72,30,523441,757090,11,15,28.95450210571289,33.854644775390625,67.37401580810547,0.0,0.0,26,21,66.03450012207031
1764717459295132.0,72,30,523502,757158,11,15,28.596277236938477,34.52239227294922,66.03450012207031,0.0,0.0,26,22,66.45902252197266
1764717459305136.0,72,30,523489,757151,11,15,28.615015029907227,34.47282791137695,66.45902252197266,0.0,0.0,26,22,66.84110260009766
1764717459315141.0,72,30,523514,757144,11,15,28.674293518066406,34.4379768371582,66.84110260009766,0.0,0.0,26,22,67.18627166748047
1764717459325139.0,72,30,523499,757130,11,15,29.290084838867188,34.4379768371582,67.18627166748047,0.0,0.0,26,21,67.77547454833984
1764717459335128.0,72,30,523486,757131,11,15,29.830698013305664,34.4379768371582,67.77547454833984,0.0,0.0,26,20,68.2537841796875
1764717459345138.0,72,30,523509,757223,11,15,29.196212768554688,34.52165222167969,68.2537841796875,0.0,0.0,26,21,68.6393814086914
1764717459355144.0,72,30,523611,757333,11,15,28.591724395751953,34.804813385009766,68.6393814086914,0.0,0.0,26,21,68.63929748535156
1764717459365149.0,72,30,523598,757319,11,15,28.90447998046875,34.804813385009766,68.63929748535156,0.0,0.0,26,21,68.63922882080078
1764717459375161.0,72,30,523622,757303,11,15,29.13663101196289,35.3315315246582,68.63922882080078,0.0,0.0,26,21,68.80255126953125
1764717459385214.0,72,30,523608,757318,11,15,29.594831466674805,35.3315315246582,68.80255126953125,0.0,0.0,26,21,68.95063018798828
1764717459395133.0,72,30,523634,757333,11,15,29.449779510498047,35.667701721191406,68.95063018798828,0.0,0.0,26,21,69.0846176147461
1764717459405163.0,72,30,523620,757316,11,15,30.048511505126953,35.667701721191406,69.0846176147461,0.0,0.0,26,20,69.2052001953125
1764717459415154.0,72,30,523607,757307,11,15,30.490074157714844,35.667701721191406,69.2052001953125,0.0,0.0,26,20,69.49832153320312
1764717459425150.0,72,30,523631,757321,11,15,30.649120330810547,35.667701721191406,69.49832153320312,0.0,0.0,26,19,69.57801055908203
1764717459435129.0,72,30,523618,757371,11,15,30.37830924987793,35.667701721191406,69.57801055908203,0.0,0.0,26,20,69.71337890625
1764717459445141.0,72,30,523680,757436,11,15,29.969707489013672,35.90865707397461,69.71337890625,0.0,0.0,26,21,69.71394348144531
1764717459455138.0,72,30,523742,757417,11,15,30.195831298828125,36.001888275146484,69.71394348144531,0.0,0.0,26,20,69.71394348144531
1764717459465134.0,72,30,523729,757398,11,15,30.195831298828125,36.1905403137207,69.71394348144531,0.0,0.0,26,20,69.7705307006836
1764717459475520.0,72,30,523714,757389,11,15,30.163177490234375,36.1905403137207,69.7705307006836,0.0,0.0,26,21,69.82196807861328
